year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name,expansion_group,treated,post,treat_post
2022,        ,19,0,40,0,0,0,0,2553453,       0,137057,    6625,2416396,    6625,5.4,0.3, 94.6,  0.3,  5.4,  0.3, 94.6,  0.3,Iowa,                                                                      ,expansion_2014,1,1,1
2022,        ,20,0,40,0,0,0,0,2380142,       0,242838,    9188,2137304,    9188,10.2,0.4, 89.8,  0.4, 10.2,  0.4, 89.8,  0.4,Kansas,                                                                      ,never_expanded,0,1,0
2022,        ,21,0,40,0,0,0,0,3635784,       0,240810,   10558,3394974,   10558,6.6,0.3, 93.4,  0.3,  6.6,  0.3, 93.4,  0.3,Kentucky,                                                                      ,expansion_2014,1,1,1
2022,        ,24,0,40,0,0,0,0,4994536,       0,340945,   13012,4653591,   13012,6.8,0.3, 93.2,  0.3,  6.8,  0.3, 93.2,  0.3,Maryland,                                                                      ,expansion_2014,1,1,1
2022,        ,25,0,40,0,0,0,0,5549103,       0,159325,    9209,5389778,    9209,2.9,0.2, 97.1,  0.2,  2.9,  0.2, 97.1,  0.2,Massachusetts,                                                                      ,expansion_2014,1,1,1
2022,        ,26,0,40,0,0,0,0,8004180,       0,440361,   13857,7563819,   13857,5.5,0.2, 94.5,  0.2,  5.5,  0.2, 94.5,  0.2,Michigan,                                                                      ,expansion_2014,1,1,1
2022,        ,27,0,40,0,0,0,0,4645927,       0,249660,    8859,4396267,    8859,5.4,0.2, 94.6,  0.2,  5.4,  0.2, 94.6,  0.2,Minnesota,                                                                      ,expansion_2014,1,1,1
2022,        ,28,0,40,0,0,0,0,2319773,       0,303672,   11695,2016101,   11695,13.1,0.5, 86.9,  0.5, 13.1,  0.5, 86.9,  0.5,Mississippi,                                                                      ,never_expanded,0,1,0
2022,        ,32,0,40,0,0,0,0,2620901,       0,346722,   12622,2274179,   12622,13.2,0.5, 86.8,  0.5, 13.2,  0.5, 86.8,  0.5,Nevada,                                                                      ,expansion_2014,1,1,1
2022,        ,34,0,40,0,0,0,0,7500502,       0,598984,   18248,6901518,   18248,8.0,0.2, 92.0,  0.2,  8.0,  0.2, 92.0,  0.2,New Jersey,                                                                      ,expansion_2014,1,1,1
2022,        ,35,0,40,0,0,0,0,1636747,       0,173212,    8641,1463535,    8641,10.6,0.5, 89.4,  0.5, 10.6,  0.5, 89.4,  0.5,New Mexico,                                                                      ,expansion_2014,1,1,1
2022,        ,36,0,40,0,0,0,0,15683077,       0,900193,   23397,14782884,   23397,5.7,0.1, 94.3,  0.1,  5.7,  0.1, 94.3,  0.1,New York,                                                                      ,expansion_2014,1,1,1
